Dark Angel - Season One;TV-Serie
Dark Angel - Season Two;TV-Serie
DÑumeline;Animation
Day After Tomorrow;Action
Dead Man Walking;Drama
Death Proof;Action
DÇjÖ Vu;Action
Departed, The;Drama
Deutschmeister, Die;Heimatfilm
Dirty Dancing I;Liebe
Dirty Dancing II;Liebe
District 9;Sci-Fi
Dogma;Komîdie
Django Unchained;Drama
Dodgeball;Komîdie
Dolmetscherin, Die (The Interpreter);Crime
Dornrîschen;Animation
Down in the Valley;Drama
DrachenzÑhmen (How to Train Your Dragon);Animation
Dreamcatcher;Horror
Drei HaselnÅsse fÅr Aschenbrîdel;Teenagers
DreimÑderlhaus, Das;Heimatfilm
Drive;Action
Dschungelbuch, Das;Animation
Duchess, The (Die Herzogin);Drama
Dumbo;Animation
E;Genre
E-Mail fÅr dich (You've Got Mail);Liebe
Eagle Eye;Action
EisbÑr, Der;Deutscher Film
Eiskînigin, Die (Frozen);Animation
Eisprinzessin, Die;Teenagers
Elizabeth: The Golden Age;Drama
Elizabethtown;Liebe
Ella - Verflixt & Zauberfaft;Teenagers
Elysium;Sci-Fi
Emma;Komîdie
Ende, Das (Assault on Precinct 13);Crime
English Patient, The;Drama
Eragon;Fantasy
Evelyn;Drama
Exit;Crime
Experiment, Das;Deutscher Film
Extreme Rage (Man Apart);Action
F;Genre
FÑhnlein der sieben Aufrechten, Das;Schweizer Film
Fahrenheit 9/11;Doku
Family Stone, The;Komîdie
Fantastic Four;Fantasy
Fantastic Four: Rise of the Silver Surfer;Fantasy
Far and Away (In einem Fernen Land);Liebe
Fargo;Komîdie
Fast and the Furious;Action
FernGully 1 & 2;Animation
Festen;Komîdie
Fifth Element;Sci-Fi
Fight Club;Action
Final Call, The;Action
Final Cut;Sci-Fi
Final Destination 3;Horror
Final Destination 4;Horror
Final Destination;Horror
Final Destination 2;Horror
Finding Forrester;Drama
Finding Nemo;Animation
Flags of Our Fathers;Krieg
Flug 93 (United 93);Doku
Fremde Sohn, Der (Changeling);Drama
French Kiss;Liebe
Frequency;Sci-Fi
From Dusk till Dawn;Horror
From Hell;Fantasy
Full Metal Jacket;Krieg
G;Genre
Gattaca;Sci-Fi
Geheimnisvolle Schatz von Troja, Der;Historical
Geisha, The Memoirs of a;Historical
Gestolene Herzen (Two If by Sea);Liebe
Ghost Ship;Horror
Ghetto Gangz;Action
Ghost Rider;Fantasy
Ghostwriter, Der;Drama
Girl with the Dragon Tattoo, The (Verblendung);Drama
Gladiator;Historical
Golden Compass, The;Fantasy
Gone Baby Gone;Crime
Good Morning, Vietnam;Krieg
Good Shepherd, The;Drama
Gothika;Horror
Green Zone;Krieg
Grosse Erwartungen (Great Expectations);Drama
Grosse Haie - Kleine Fische (Shark Tale);Animation
Grounding;Schweizer Film
H;Genre
Half Light;Horror
Hamburger Hill;Krieg
Hangover;Komîdie
Hangover 3;Komîdie
Happening, The;Sci-Fi
Happy Feet;Animation
Harry Potter I - Stein der Weisen;Fantasy
Harry Potter II - Kammer des Schreckens;Fantasy
Harry Potter III - Gefangene von Askaban;Fantasy
Harry Potter IV - Feuerkelch;Fantasy
Harry Potter V - Orden des Phînix;Fantasy
Harry Potter VI - Halbblutprinz;Fantasy
Harry Potter VII - HeiligtÅmer des Todes (Teil 1);Fantasy
Harry Potter VII - HeiligtÅmer des Todes (Teil 2);Fantasy
Hart am Limit (Torque);Action
Haus am See, Das (The Lake House);Drama
Head in the Clouds;Historical
Hearts in Atlantis;Drama
Haven - Staffel 1;Sci-Fi
Haven - Staffel 2;Sci-Fi
Hercules;Animation
Herr der Gezeiten (The Prince of Tides);Drama
Hexe und der Zauberer, Die;Animation
Hinter dem Horizont (What Dreams May Come);Fantasy
History of Violance, The;Drama
Hîlle Vietnams, Die (A Bright Shining Lie);Krieg
Hitch;Komîdie
Hostage;Crime
Hoch klingt der Radetzkymarsch;Heimatfilm
Hochzeits-Crasher, Die (Wedding Crashers);Komîdie
Hope Springs;Liebe
Hotel Rwanda;Drama
Hugo Cabret;Fantasy
I;Genre
I am Legend;Action
I, Robot;Sci-Fi
I.Q.;Liebe
Ice Age 1;Animation
Ice Age 2: The Meltdown;Animation
Ice Age 4: Continental Drift;Animation
Identity;Horror
Illusionist, The;Fantasy
Im Juli;Deutscher Film
Im Weissen Rîssl;Heimatfilm
Inception;Sci-Fi
Inglorious Basterds;Krieg
Inside Job;Doku
Inside Man;Crime
Insider, The;Crime
International, The;Crime
Iron Man;Sci-Fi
Island, The;Sci-Fi
Italian Job;Crime
J;Genre
Jacke und die Nimmerland Piraten;Animation
Jacket, The;Horror
Jackie Brown;Komîdie
Jagdfieber (Open Season);Animation
Jarhead;Krieg
Jeanne d'Arc - Die Frau des Jahrtausends;Drama
Johanna von Orleans (Joan of Arc);Drama
Junge im gestreiften Pyjama, Der;Drama
K;Genre
K-PAX;Sci-Fi
Kaltes Blut (Infamous);Drama
Kammer, Die (The Chamber);Drama
Kate & Leopold;Liebe
Keeping the Faith;Komîdie
Keinohrhasen;Deutscher Film
Kill Bill, Volume 1;Action
Kill Bill, Volume 2;Action
Killing Fields;Krieg
King Arthur;Historical
Kingdom of Heaven;Historical
Kiss Kiss, Bang Bang;Komîdie
Knockin' on Heaven's Door;Deutscher Film
Kon-Tiki;Drama
Kînigreich fÅr ein Lama, Ein;Animation
Krieg der Welten (War of the Worlds);Sci-Fi
Krieger und die Kaiserin, Der;Deutscher Film
KÅhe sind los, Die;Animation
Kundun;Historical
KÅss den Frosch;Animation
L;Genre
Lady in the Water;Fantasy
Last Days on Mars, The;Sci-Fi
Last King of Scotland, The;Drama
Last Samurai, The;Historical
Laws of Attraction;Liebe
Lazarus Projekt, Das;Drama
League of Extraordinary Gentlemen, The;Fantasy
Legend of 1900, The (Der Ozeanpianist);Drama
Les MisÇrables;Drama
Letters From Iwo Jima;Krieg
Letters to Juliet (Biefe an Julia);Komîdie
Liebe auf Umwegen (Raising Helen);Liebe
Liebe und Eis (The Cutting Edge);Liebe
Life of David Gale;Action
Lion King;Animation
Lissi und der wilde Kaiser;Animation
Lola Rennt;Deutscher Film
Longest Day, The;Krieg
Lord of the Rings I - The Fellowship;Fantasy
Lord of the Rings II - The Two Towers;Fantasy
Lord of the Rings III - The Return of the King;Fantasy
Lord of War;Crime
LOST - Staffel 1;TV-Serie
LOST - Staffel 2;TV-Serie
LOST - Staffel 3;TV-Serie
LOST - Staffel 4;TV-Serie
LOST - Staffel 5;TV-Serie
LOST - Staffel 6;TV-Serie
LuftbrÅcke - Nur der Himmel war frei;Historical
M;Genre
Machtlos (Rendition);Drama
Man about Town;Liebe
Madagascar;Animation
Madagascar II;Animation
MÑdchenjahre einer Kînigin;Heimatfilm
Magische Schwert, Das;Animation
Magnolia;Drama
MÑnnerpension;Deutscher Film
MÑnnerzirkus (Someone Like You);Komîdie
Mary Poppins;Animation
Master and Commander;Historical
Matrix;Sci-Fi
Matrix Reloaded;Sci-Fi
Matrix Revolutions;Sci-Fi
Maulwurf, Der - Abenteuer als Fotograf;Animation
Maulwurf, Der - Abenteuer als GÑrtner;Animation
Maulwurf, Der - Abenteuer im Karneval;Animation
Maulwurf, Der - Abenteuer mit dem Igel;Animation
Maulwurf, Der - In der Stadt;Animation
Maulwurf, Der - Und seine Freunde;Animation
Max Payne;Sci-Fi
McLeods Tîchter: Staffel 1;TV-Serie
McLeods Tîchter: Staffel 2;TV-Serie
McLeods Tîchter: Staffel 3;TV-Serie
Meet the Fockers;Komîdie
Meet the Parents;Komîdie
McLeods Tîchter: Staffel 4;TV-Serie
McLeods Tîchter: Staffel 5;TV-Serie
McLeods Tîchter: Staffel 6;TV-Serie
McLeods Tîchter: Staffel 7;TV-Serie
McLeods Tîchter: Staffel 8;TV-Serie
Miami Vice;Crime
Mein Name ist Eugen;Schweizer Film
Mercury Rising;Action
Mimic;Horror
Merida - Legende der Highlands;Animation
MerkwÅrdige Verhalten geschlechtsreifer Gro·stÑdter zur Paarungszeit, Das;Deutscher Film
Metro;Action
Missing, The;Drama
Milk;Drama
Million Dollar Baby;Drama
Minority Report;Sci-Fi
Miss Undercover I;Komîdie
Miss Undercover II;Komîdie
Mission to Mars;Sci-Fi
Mona Lisa Smile;Historical
Mission: Impossible;Action
Mission: Impossible II;Action
Mission: Impossible III;Action
Mit aller Macht (Primary Colors);Komîdie
Mitten ins Herz - Ein Song fÅr Dich;Komîdie
Monster;Drama
Monster Inc.;Animation
Monsters University;Animation
Monty Python and the Holy Grail;Komîdie
Monty Python's Life of Brian;Komîdie
Monuments Men, The;Krieg
Moonlight and Valentino;Drama
Mulan;Animation
Mulan II;Animation
MÅnchen;Crime
Mystic River;Drama
N;Genre
Narnia I, The Chronicles of Narnia;Fantasy
Mr. and Mrs. Smith;Komîdie
Narnia II - Prinz Kaspian von Narnia;Fantasy
National Treasure I;Fantasy
My Super Ex-Girlfriend;Komîdie
National Treasure II: Book of Secrets;Fantasy
Natural Born Killers;Crime
NBA - Die 100 Besten Spiele der NBA;Doku
NBA - Dunks;Doku
Next;Sci-Fi
Next Door (Naboer);Horror
Night at the Museum (Nachts im Museum);Komîdie
Night at the Museum 2;Komîdie
Niko - Ein Rentier hebt ab;Animation
Neutral;Schweizer Film
No Country for old Men;Crime
Notting Hill;Komîdie
Nur mit dir (A Walk To Remember);Drama
O;Genre
Oblivion;Sci-Fi
Ocean's 11;Crime
Ocean's 12;Crime
Ocean's 13;Crime
Once Upon a Time;TV-Serie
One Way;Crime
Operation WalkÅre - Stauffenberg Attentat ;Krieg
Operation: Kingdom;Drama
Others, The;Horror
On the Line;Liebe
Oxford Murders;Crime
P;Genre
